bank,city,branch,swiftCode,country
AKD SECURITIES LIMITED,KARACHI,,AKDBPKK1,Pakistan
ALBARAKA BANK (PAKISTAN) LIMITED,KARACHI,,AIINPKKA,Pakistan
ALBARAKA BANK (PAKISTAN) LIMITED,LAHORE,,AIINPKKALHR,Pakistan
ALFALAH SECURITIES (PRIVATE) LIMITED,KARACHI,,ALEVPKK1,Pakistan
ALLIED BANK LIMITED,ISLAMABAD,"BLUE AREA BRANCH, CORPORATE BRANCH, ISLAMABAD - 0443",ABPAPKKA443,Pakistan
ALLIED BANK LIMITED,KARACHI,BRANCH KARACHI (0949),ABPAPKKA949,Pakistan
ALLIED BANK LIMITED,KARACHI,"EXPORT PROCESSING ZONE BRANCH, (OFF SHORE BANKING UNIT)",ABPAPKKAEPZ,Pakistan
ALLIED BANK LIMITED,KARACHI,"TREASURY OPERATIONS (TROPS), OPERATIONS GROUP, CENTRAL OFFICE",ABPAPKKATRY,Pakistan
ALLIED BANK LIMITED,LAHORE,"ABL, HEAD OFFICE SWIFT UNIT",ABPAPKKA,Pakistan
ALLIED BANK LIMITED,LAHORE,ISLAMIC BANKING GROUP,ABPAPKKAIBG,Pakistan
ALLIED BANK LIMITED,LAHORE,ROSHAN DIGITAL ACCOUNT,ABPAPKKARDA,Pakistan
ALLIED BANK LIMITED,LAHORE,"SWIFT OPERATIONS, HEAD OFFICE, LAHORE",ABPAPKKA979,Pakistan
ALLIED BANK LIMITED,LAHORE,"TRADE FACTORY WING, TRADE TOWER, CENTRAL OFFICE, KARACHI.",ABPAPKKATFW,Pakistan
AMERICAN EXPRESS BANK LTD.,ISLAMABAD,,AEIBPKK1ISL,Pakistan
AMERICAN EXPRESS BANK LTD.,KARACHI,,AEIBPKK1,Pakistan
AMERICAN EXPRESS BANK LTD.,LAHORE,,AEIBPKK1LHE,Pakistan
ARIF HABIB LIMITED,KARACHI,,ARHAPKK1,Pakistan
ASKARI BANK LIMITED,RAWALPINDI,"AWT PLAZA, RAWALPINDI BRANCH",ASCMPKKA001,Pakistan
ASKARIBANK LIMITED,FAISALABAD,UNIVERSITY ROAD BRANCH,ASCMPKKA009,Pakistan
ASKARIBANK LIMITED,GUJRANWALA,GUJRANWALA BRANCH,ASCMPKKA012,Pakistan
ASKARIBANK LIMITED,GUJRAT,GUJRAT BRANCH,ASCMPKKA037,Pakistan
ASKARIBANK LIMITED,ISLAMABAD,"ISLAMIC BKG BR, BLUE AREA",ASCMPKKA905,Pakistan
ASKARIBANK LIMITED,ISLAMABAD,ROSHAN DIGITAL ACCOUNT UNIT,ASCMPKKARDA,Pakistan
ASKARIBANK LIMITED,KARACHI,,ASCMPKKA,Pakistan
ASKARIBANK LIMITED,KARACHI,CENTRAL FOREIGN TRADE UNIT,ASCMPKKAFT1,Pakistan
ASKARIBANK LIMITED,KARACHI,"ISLAMIC BKG BR, JODIA BAZAR",ASCMPKKA904,Pakistan
ASKARIBANK LIMITED,KARACHI,"ISLAMIC TREASURY DESK, KHI",ASCMPKKAIBT,Pakistan
ASKARIBANK LIMITED,KARACHI,SAIMA TRADE TOWER BRANCH,ASCMPKKA002,Pakistan
ASKARIBANK LIMITED,KARACHI,TREASURY DIVISION,ASCMPKKATRY,Pakistan
ASKARIBANK LIMITED,LAHORE,CENTRAL FOREIGN TRADE UNIT,ASCMPKKAFT2,Pakistan
ASKARIBANK LIMITED,LAHORE,"ISLAMIC BKG BR, WALTON CANTT",ASCMPKKA906,Pakistan
ASKARIBANK LIMITED,LAHORE,SAT BRANCH,ASCMPKKA006,Pakistan
ASKARIBANK LIMITED,MULTAN,MULTAN BRANCH,ASCMPKKA013,Pakistan
ASKARIBANK LIMITED,PESHAWAR,CANTONMENT BRANCH,ASCMPKKA004,Pakistan
ASKARIBANK LIMITED,PESHAWAR,"IBB, PESHAWAR",ASCMPKKA902,Pakistan
ASKARIBANK LIMITED,QUETTA,CANTONMENT BRANCH,ASCMPKKA003,Pakistan
ASKARIBANK LIMITED,QUETTA,"ISLAMIC BKG BR,JINNAH RD",ASCMPKKA903,Pakistan
ASKARIBANK LIMITED,RAWALPINDI,CENTRAL FOREIGN TRADE UNIT,ASCMPKKAFT3,Pakistan
ASKARIBANK LIMITED,RAWALPINDI,"HEAD OFFICE, RAWALPINDI",ASCMPKKAHOR,Pakistan
ASKARIBANK LIMITED,RAWALPINDI,"IBB, RAWALPINDI",ASCMPKKA901,Pakistan
ASKARIBANK LIMITED,RAWALPINDI,INTERNATIONAL DIVISION,ASCMPKKAIND,Pakistan
ASKARIBANK LIMITED,SIALKOT,SIALKOT BRANCH,ASCMPKKA010,Pakistan
BANK AL HABIB LIMITED,FAISALABAD,FAISALABAD BRANCH,BAHLPKKAFSD,Pakistan
BANK AL HABIB LIMITED,ISLAMABAD,ISLAMABAD BRANCH,BAHLPKKAISL,Pakistan
BANK AL HABIB LIMITED,KARACHI,,BAHLPKKA,Pakistan
BANK AL HABIB LIMITED,KARACHI,CENTRAL PROCESSING UNIT,BAHLPKKACPU,Pakistan
BANK AL HABIB LIMITED,KARACHI,EXPORT PROCESSING ZONE BRANCH,BAHLPKKAEPZ,Pakistan
BANK AL HABIB LIMITED,KARACHI,ISLAMIC BANKING DIVISION,BAHLPKKAIBD,Pakistan
BANK AL HABIB LIMITED,KARACHI,JODIA BAZAR,BAHLPKKAJBZ,Pakistan
BANK AL HABIB LIMITED,KARACHI,KARACHI MAIN BRANCH,BAHLPKKAKHI,Pakistan
BANK AL HABIB LIMITED,KARACHI,L C CENTRE,BAHLPKKALCC,Pakistan
BANK AL HABIB LIMITED,KARACHI,ROSHAN DIGITAL ACCOUNT,BAHLPKKARDA,Pakistan
BANK AL HABIB LIMITED,LAHORE,LAHORE BRANCH,BAHLPKKALHR,Pakistan
